Title,Link,Image_URL,Basic_Title,Description,Basic_Description,Price
"I will translate your content from english into french, german, spanish, and italian",https://www.fiverr.com/etranslators24/translate-from-english-to-norwegian-and-norwegian-to-english?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=990c5825489b4f2ba8a6857e30f498e6&pckg_id=1&pos=1&context_type=rating&funnel=990c5825489b4f2ba8a6857e30f498e6&seller_online=true&imp_id=d055d7d8-84b6-48fa-b149-56bd649590d5,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/317220648/original/c53890b5cd16d3d20e6c357930fd1518d6bdc08b/translate-from-english-to-norwegian-and-norwegian-to-english.jpg",Basic,"Are you looking for a reliable, professional & experienced translation team for your content translation? Then you are on the right place!

We are a top rated translation agency working in the translation industry since 2014. We have professional native translators from respective countries. Translations will be done 100% manually by a native translator and double checked by another native speaker to ensure error free and accurate translation.

Languages pair:

**English to French** or **French to English**

**English to German** or **German to English**

**English to Italian** or **Italian to English**

**English to Spanish** or **Spanish to English**

**English to Portuguese** or **Portuguese to English**

We can translate all the Western European languages pair.

Accepted files type:

Any file type/format accepted (Docx, txt, PPT, Xml, HTML, PDF, JPG, PNG, PO, PSD, AI InDesign etc.)

Our Speciality:

Satisfaction guarantee

Fast delivery

Human translation

Quick response

Unlimited revisions

Same format looks like the source file

Please message us with your file(s) before placing order or send us your file to get quote and deadline.",Translation and Proofreading up to 500 words,10.0
I will translate your polish english or german digital or saas content,https://www.fiverr.com/evanthel/translate-any-article-into-english?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=990c5825489b4f2ba8a6857e30f498e6&pckg_id=1&pos=2&context_type=rating&funnel=990c5825489b4f2ba8a6857e30f498e6&imp_id=3f217ada-4fa5-49bf-aa55-094695d687b0,"https://fiverr-res.cloudinary.com/videos/t_main1,q_auto,f_auto/nmoyx25dsvsronawkzwz/translate-any-article-into-english.png",Starter Technical Translation,"**Translations: English/German -> Polish/English**

I help digital platforms, SaaS companies, and tech-driven businesses translate content that demands **accuracy, clarity, and technical fluency**.

With over 8 years of experience and having translated more than 1 million words, I specialize in handling projects that combine **language and code, including** developer documentation, product UIs, and technical marketing materials.

* **Clients include** global brands such as Visa, Crypto.com, and leading SaaS/fintech companies.
* **Professional memberships & certifications:** IAPTI translator, Python, Data Science (R), SEO, Project Management
* **Technical fluency:** e-commerce platforms, source code, product feeds (CSV/JSON), HTML/Markdown, product UIs

**What I translate:**

* Technical documentation & guides
* SaaS and e-commerce platform content
* App & web UIs (including code)
* Knowledge bases
* Product support content

**What makes me different?**

Alongside translation, I bring hands-on skills in data workflows and AI localization. That means I can work with structured product data, ensure SEO alignment, and QA AI-generated content, giving you translations that are not just correct but implementation-ready and user-friendly","Short technical docs, app strings, or UI text. Formatting included",100.0
I will translate your book from english to spanish,https://www.fiverr.com/gabgil/deliver-a-professional-book-translation-from-english-to-spanish?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=990c5825489b4f2ba8a6857e30f498e6&pckg_id=1&pos=3&context_type=rating&funnel=990c5825489b4f2ba8a6857e30f498e6&imp_id=06bc8340-72d1-47db-bd1c-d974e5770f08,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/249051521/original/5569a1d647bf8ae45b2717247747e0ad6407b736/deliver-a-professional-book-translation-from-english-to-spanish.jpg",Story,"Want your book to captivate Spanish-speaking readers without losing its essence?

I am a professional literary translator specializing in **novels, short stories, essays, and non-fiction**. My goal is that your story **does not sound translated**, but reads naturally in Spanish.

With me, you'll get:

Accurate and fluid translation (English Spanish)

Cultural adaptation (expressions and references tailored for your audience)

Literary style (narrative flow, natural dialogues, rhythm preserved)

Professional and confidential service

Optional editing and publishing-ready formatting

I have worked with independent authors and publishers, and I know how important it is to maintain your **unique voice**.

Publish your book on Amazon KDP, Wattpad, Goodreads, or anywhere, with a Spanish translation ready to captivate readers.",Includes 15000 words and 7 turnaround days. 2 revisions,65.0
"I will professionally translate in spanish, english, french, german",https://www.fiverr.com/laraacantos/translate-from-and-into-english-french-and-german?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=990c5825489b4f2ba8a6857e30f498e6&pckg_id=1&pos=5&context_type=rating&funnel=990c5825489b4f2ba8a6857e30f498e6&fiverr_choice=true&imp_id=deec0dfd-a0b2-4e3c-9cfb-1b6010fc7d74,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/200744204/original/e82b6362dee5b0f492952c6fdde948b3d677055a/translate-from-and-into-english-french-and-german.png",,"**What do you say makes a good translation? I personally believe a good translation never actually looks like one.**

Hi! Welcome. I'm Lara.

I am a **CT (Certified Translator)**, fluent in Spanish, German, English, French and Italian. For the past 15 years, I have worked in a variety of language combinations, English to Spanish/Spanish to English being my most requested one. During this time, I have also led a translation agency and personally translated over **5,000 projects (over 7 million words).**

**What I offer:**

* Online Content Localization

(Articles, Blog Posts, Websites, etc.)

* Literary Translations

((Non-)Fiction, Children's Books, Manuscripts, etc.)

* Legal Translation

(Contracts, Wills, Powers of Attorney, etc.)

* Technical Translations

(Pharmaceutical, Insurance, Psychology, Manuals, etc.)

**And much more**.

The plus side? I'll be happy to **certify your translation if need be**.

**What you get:**

* Speedy **delivery.**
* **In-depth communication** to understand the message you want to convey.
* Precise, localized, and accurate translation **adapted to your target audience and region.**
* **Professional and certified** translator.
* **100% human and** natural-sounding translation.","**Bronze** This package includes 400 words. Enter your word count below to get the price, up to 2,000.",15.0
I will translate english to vietnamese and viet to eng in 24 hours,https://www.fiverr.com/hieulocbk/translate-english-to-vietnamese?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=990c5825489b4f2ba8a6857e30f498e6&pckg_id=1&pos=6&context_type=rating&funnel=990c5825489b4f2ba8a6857e30f498e6&imp_id=7ae87f8b-bd2e-4829-9f91-afd2645dbcf2,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/129639669/original/eb7881221a20c7ba08306982402182e5f4154cfd/translate-english-to-vietnamese.png",Basic,"Hi, my name is Loc and I'm a native Vietnamese. I have more than seven years of professional translation experience in English and Vietnamese.

Please contact me before placing an order if your document exceeds 3000 words. I accept orders up to 100,000 words.

General topic: 700 words = 5 USD. Technical topic: 400 words = 5 USD.

**My unique selling points:**

* IELTS certificate
* Technische Universität Berlin (Germany) graduate
* 6 years working experience at 2 foreign companies
* 2 degrees, one in Engineering and another in Management.
* Have 1000+ orders, 200+ reviews and >99.5% positive reviews.

All of your documents will be kept confidential and deleted upon completion of the order.

**My industry expertise:**

* Cryptocurrency/Blockchain
* Technology
* Legal Documents
* Business & Finance
* Marketing & Media
* Software, Mobile Apps & Website, HTML
* Games, iGaming, eSports
* Video, Audio
* Forex

If the final result is not what you're looking for, don't pay me. I'm happy with that.

Please do not hesitate to contact me for exceptional transl",Under 700 words,5.0
"I will translate anything between english, czech, polish and slovak",https://www.fiverr.com/danielrusz/professional-translation-from-english-polish-and-slovak-language-to-czech?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=990c5825489b4f2ba8a6857e30f498e6&pckg_id=1&pos=7&context_type=rating&funnel=990c5825489b4f2ba8a6857e30f498e6&imp_id=5662bda3-37da-443a-a2cd-72d5b6f7d66a,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/124922923/original/30bbbf9fc206b412688e3f90aacf68dec95f3bdd/professional-translation-from-english-polish-and-slovak-language-to-czech.jpg",500 Words in 24 hours,"Hello,

I'm a Czech translator with more than 8 years of experience. I´m translating Czech, Slovak, Polish and English - all vice versa.

I'm offering **high quality, professional** translation with **proofreading, 24-hour turnaround** and a**personal approach.**

Here on Fiverr alone, I have already delivered more than **1,000 orders**, and more than **420** of them have been rated **5 stars** by my clients. Join those clients and I'll make sure your experience is just as positive.

**What makes me different from others?**

**SEO** - We all know how important SEO is for your search engine rankings. Without good SEO, your site will not be as visible as you want. I own a Google Ads certificate, so I know how keywords work, what keywords to choose, and how to include them in the text. So I do not only offer you a manual translation of the text you send me, but I also offer you a quality SEO translation with which not only you but also the search engine will be satisfied.

If you're unsure about the pricing, just send me a message and I'll send you a **custom offer**.

**Please let me know if you have any questions.**

Kindest regards,

Dan.",Fast and efficient delivery of SEO optimized translation,5.0
I will translate your content from english to vietnamese or vietnamese to english,https://www.fiverr.com/laranguyen/translate-any-digital-content-from-english-to-vietnamese?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=990c5825489b4f2ba8a6857e30f498e6&pckg_id=1&pos=8&context_type=rating&funnel=990c5825489b4f2ba8a6857e30f498e6&imp_id=fe69d927-9439-418e-807e-559d818f19a3,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/154107780/original/8ef77bbe4bdbca732803fde8a077c58362b46292/translate-any-digital-content-from-english-to-vietnamese.png",TINY PROJECT,"Thank you so much for checking my gig! My name is Lara. I am a native Vietnamese.

**I will help you translate English -> Vietnamese / Vietnamese -> English regarding:**

* Books
* Business Documents
* Marketing Contents
* Cryptocurrency / Blockchain
* Financial Reports
* Legal Documents
* Investment Plans
* Technology
* Mobile Application / Website / HTML / Crowdin - Lokalise Projects
* Video

and more!

Why you should choose me:

️ **SEO Optimized** (website content)

️ Manual Translation / **Natural Language** (no automatic translation)

️ **Low Cost**

️ **Short-Time Delivery** / **Double-Check** Before Delivery

️ Unlimited Revisions

️ All Translations & Personal Information are **Confidential**

**\*\*\* I can also make video transcriptions, video subtitles, and format your translation files as requested (docx, pdf, srt, vtt...)**

**Before placing your order, please read the FAQ section below, or feel free to leave a message if you have any questions. I am very happy to discuss with you.**

Many Thanks,

Lara","\* 500-word translation
Or
\* 3-minute video/audio script translation",5.0
I will flawlessly translate your text from english to french,https://www.fiverr.com/gipsyp/translate-any-english-texts-to-perfect-french?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=990c5825489b4f2ba8a6857e30f498e6&pckg_id=1&pos=9&context_type=rating&funnel=990c5825489b4f2ba8a6857e30f498e6&imp_id=0267103b-4583-4d01-8252-93affe0c1807,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/141114305/original/16396d23c3f94d0f2d266f5c97a745656c050db7/translate-any-english-texts-to-perfect-french.png",Short & Happy,"CONTACT ME FOR A CUSTOM OFFER.

Welcome to my profile ! I am Gipsy, a native **French published writer** with a **degree in foreign languages and an adventurer.** Travelling has allowed me to **learn about different cultures**which has been really helpful for my work as a translator.

With over **20 years of experience as a writer, blogger and translator,** I can work on :

* **BOOKS**, short stories, **E-BOOKS** - incl. **CHILDREN BOOKS**
* **WEBSITES**
* Product descriptions, **AMAZON LISTINGS**
* **Instructions manuals**
* **Articles** / blogs
* **SUBTITLES (incl. srt.files)**
* **TRANSCRIPTIONS**

I will **manually translate** texts that are written in **English into authentic French.**

I have been working with **AMAZON KDP** and **KINDLE** for a while, and regarding your**BOOKS,** as a writer, I can provide SIGNIFICANT **FEEDBACK** of your story and help you to **IMPROVE** your text.

**All information provided will remain confidential.**

Check my **OTHER GIGS** for **PROOFREADING FRENCH TEXTS** (incl. books & **AI-GENERATED content to be improved**), **CREATING original STORIES** as well as **FRENCH EXERCISES/TEXTS** for **FRENCH TEACHERS/STUDENTS.**

For any questions or special requests,**feel free to contact me :)**",Up to 1800 words | Less Words? Transcription? Books? Website? Contact me for a CUSTOM OFFER,100.0
I will translate english to romanian and vice versa,https://www.fiverr.com/razvanencuna/translate-english-to-romanian-and-vice-versa?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=990c5825489b4f2ba8a6857e30f498e6&pckg_id=1&pos=10&context_type=rating&funnel=990c5825489b4f2ba8a6857e30f498e6&imp_id=c7f708bb-ed3e-4c02-8ed8-e274b7f4c676,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/379109683/original/c167bd5ce1d83840f10213d4d0596b032a282fa1/translate-english-to-romanian-and-vice-versa.jpg",,"Are you in need of accurate and professional translations between English and Romanian? Look no further! I am an expert translator with over 10 years of experience specializing in financial, technical, medical, and legal documents. As a native Romanian speaker fluent in English, I guarantee translations that are both precise and culturally appropriate.

What I offer:

1. High-Quality Translations: Whether it's financial reports, technical manuals, medical records, or legal documents, I ensure that every translation maintains the integrity, tone, and nuance of the original content.
2. Fast Turnaround: I understand the importance of deadlines. Depending on the length and complexity of your document, I can provide translations within 24 to 48 hours for smaller projects, and we'll discuss a reasonable timeline for larger projects.
3. Confidentiality Assured: Your documents and information are treated with the utmost confidentiality and respect. I am open to signing non-disclosure agreements (NDAs) for your peace of mind.
4. Personalized Service: I tailor my translations to meet your specific needs and preferences, ensuring that the final product meets your expectations.",**1000 words simple doc** I will translate a simple document of 1000 words,10.0
I will accurately translate between canadian french and english,https://www.fiverr.com/joegrill/translate-french-canadian-french-and-english?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=990c5825489b4f2ba8a6857e30f498e6&pckg_id=1&pos=11&context_type=rating&funnel=990c5825489b4f2ba8a6857e30f498e6&seller_online=true&imp_id=21043081-6dfc-41b1-8979-bcabb6a3c355,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/14156559/original/61fbc036f2644387ed735e1cad325a4f1fe5da45/translate-french-canadian-french-and-english.jpg",Small Project,"A precise, cost-effective translator and proofreader from English to French, specializing in Canadian (Quebec) French, is at your service! Do you require proofreading or accurate translations from English into French from Canada (Quebec) at a reasonable price? Look no further! I am well-suited to offer your project affordable, high-calibre translation and proofreading services. I have worked in the field for more than ten years and am a native Quebecois who is now living in Alberta. Capable of handling marketing materials, owner's manuals, SOP manuals, and general documentation. Together, let us accomplish amazing things!

For an accurate quote, please include your file(s) in Word, Excel, PowerPoint, Google Docs, Sheets, or Slides format.

**Get in touch with me first for ANY other formats.**

I use the MateCat program and other translation tools to assist me in all of my work. I follow up with a comprehensive manual review. MateCat accurately maintains the source document's formatting, fonts, and other components.

I do not do manual translations because they take too long.

I always appreciate your questions!","$0.07 per word for up to 500 words.
$10 minimum.
Use the word counter to calculate the price.",10.0
