Title,Link,Image_URL,Basic_Title,Description,Basic_Description,Price
"I will compose and produce music using live orchestral strings, piano, bass, percussion",https://www.fiverr.com/nwolkstein/be-your-go-to-producer-and-composer?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=1d8d06b8aead42a5ad4435cf8ba7db42&pckg_id=1&pos=1&context_type=rating&funnel=1d8d06b8aead42a5ad4435cf8ba7db42&imp_id=e84bd9d5-74eb-4321-ba28-c233b99af4fa,"https://fiverr-res.cloudinary.com/videos/so_16.96834,t_main1,q_auto,f_auto/oywfjkc5a9apumojib6r/be-your-go-to-producer-and-composer.png",Composition. Mixing. Production.,"*\*\*\*CONTACT ME BEFORE BUYING\*\*\**

Portfolio/Reels - https://www.youtube.com/@NathanielWolkstein

I'm a **professional violinist, multi-instrumentalist, orchestral arranger and composer, session musician,** and **producer**. For the last 10 years, I have collaborated with both independent and artists on major labels (**Sony Music** and **Universal Music Group**), and have composed original music for film, television, video games, content creators, ads and everything in between.

With **20+ years of classical music training**, **professional orchestral playing** and **songwriting experience**, I have the ability to musically **shape-shift across genres,**utilizing **live instruments** to create unique and **memorable sounds**.

**""Outstanding, creative violinist and talented composer who delivers excellent musical results.""**

***-*Jorge Meijia**

*CEO and President of Sony Latin and U.S. Latin*

**""Moving, inventive and consistently exhibiting a talented musical sensitivity...Outstanding musicality and expertise performing in many musical styles""**

***-*** **Michael Tilson Thomas**

*11-Time Grammy Award-Winning Conductor*

*Conductor Laureate of the London Symphony Orchestra*

*\*\*\*CONTACT ME BEFORE BUYING\*\*\**","Composition. Recording. Mixing. Live strings, guitars, bass, percussion, piano and more!",325.0
"I will be your gold record ghost producer, hit song ready music producer",https://www.fiverr.com/mfmusicprod/produce-your-pop-track-or-cover-4d17?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=1d8d06b8aead42a5ad4435cf8ba7db42&pckg_id=1&pos=2&context_type=rating&funnel=1d8d06b8aead42a5ad4435cf8ba7db42&imp_id=7954af33-1145-4f88-a8a0-17c72caba616,"https://fiverr-res.cloudinary.com/videos/so_17.544,t_main1,q_auto,f_auto/rvjhtrqmlnbu0npgri9j/produce-your-pop-track-or-cover-4d17.png",1 Instrument,"**HOW DOES IT WORK?**

* Tell me about your vision and send me your instructions plus 2 or 3 reference songs
* I will create the song based on your instructions
* You give me your feedback and I'll work that in
* I offer unlimited revisions so I won't stop until you're 100% happy with your song!

Also need songwriter or vocalist? Just send me a message and we can talk about it!

**ABOUT ME**

Hi, my name is Marvin. I'm a professiona**l songwriter** / **producer** / **vocalist** / **guitarist** from Amsterdam. I started out as a rock guitarist, but fell in love with pop music and now produce and write for **pop**, **rock**, **hip hop**, **R&B** and **EDM** acts from all around the world.

I wanna **take your music to the next level!** I've worked with labels like Warner Music, Disney and Universal and I've collaborated with people like Sacha Skarbek (Miley Cyrus, Adele, Backstreet Boys) Anders Grahn (Black Eyed Peas, Anastacia) and many more.","Only 1 instrument production: guitar, piano or organ etc.
Mix & Master not included",125.0
I will be your high end music producer,https://www.fiverr.com/orishlez/record-a-professional-keyboard-track-piano-or-rhodes-or-hammond-for-any-3-minutes-song-in-any-key?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=1d8d06b8aead42a5ad4435cf8ba7db42&pckg_id=1&pos=3&context_type=rating&funnel=1d8d06b8aead42a5ad4435cf8ba7db42&imp_id=92943fde-6874-487e-9e8d-511c15e5d08b,"https://fiverr-res.cloudinary.com/videos/so_1.867733,t_main1,q_auto,f_auto/fonjdz9eo5ezop1krmww/record-a-professional-keyboard-track-piano-or-rhodes-or-hammond-for-any-3-minutes-song-in-any-key.png",1 Instrument arrangement (Piano),"**WELCOME TO PRO-LEVEL PRODUCTION: Where Industry Standards Meet Your Vision**

An award winning professional music producer, multi-instrumentalist, and mixing engineer with over 20 years of experience in the music industry.

I have worked with grammy winners and big-time recording companies such as Disney, Warner, Universal, and more.

I provide a word class, and high-level total music productions in the genres of Soul, R&B, Pop, Rock, Gospel, Folk, Country, and more.

I collaborate with Singer-songwriters, Musicians & Producers, Videographers, Directors, and all required musical content creators.

* Stunning world-class arrangements
* Concept Design
* Live instruments!
* High-def recordings gear in a real acoustically treated recording studio
* Mixing & Mastering

*Please contact before ordering to discuss your project*

**Let's bring your musical ideas to life! Hit me up and let's get started.**

**Ori**

**More Audio Demos:**

www.soundcloud.com/orishlez

**Additional Gigs by Ori Shlez**

**Piano Recording Session:**

https://www.fiverr.com/orishlez/record-keyboard-piano-track-for-any-song?arrived\_from\_manage\_gigs=true&display\_share=true",Professional piano arrangement for your project.,125.0
"I will create a killer rock, metal or punk instrumental for you",https://www.fiverr.com/mauripalheta/create-a-killer-guitar-riff-for-your-metal-or-rock-song?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=1d8d06b8aead42a5ad4435cf8ba7db42&pckg_id=1&pos=5&context_type=rating&funnel=1d8d06b8aead42a5ad4435cf8ba7db42&fiverr_choice=true&imp_id=f357c925-311d-46ac-9f32-0caade6fd688,"https://fiverr-res.cloudinary.com/videos/so_0.0,t_main1,q_auto,f_auto/v1/video-attachments/gig/videos/60e5a34a277a381e3513360858e5c8bb-1764053398339/Fiverr%20Instrumental%202025/create-a-killer-guitar-riff-for-your-metal-or-rock-song.png",,"Looking for a custom instrumental rock/ punk / metal song to be used commercially with a fast turnaround and high quality?

My name is Mauricio, I'm a professional session musician, multi-instrumentalist, singer/songwriter and producer who will do a very soulful and unique work for you.

**How this gig works:**

* Contact me and send me a brief
* Let me know what you need and when
* Lay back and leave everything else to me.

**I can also:**

* Record and produce your original song by having a sample/demo file of the song.
* Do a full band cover of a song
* Create an adaptation of a song
* Take the basic idea that you might have (chord progression, for example) and creating a song around that.

**Different styles and sub-genres I've worked with:**

* *Classic Rock*
* *Hard Rock*
* *Alternative Rock*
* *Indie Rock*
* *﻿Hardcore Punk*
* *Pop Rock*
* *Metalcore*
* *Pop Punk*
* *Skatepunk*
* *Nu Metal*
* *Grunge (early 90's Alt Rock)*
* *Thrash Metal*
* *Groove Metal*
* *Power Metal*
* *Melodic Hardcore*
* *Black Metal*
* *Death Metal*
* *Grindcore*
* *Deathcore*

I will turn your ideas and needs into sound that will get you closer to who and where you want to be.

Thank you and look forward to working with you.","**Primary Package** Guitars, Bass and Drums.
Processed stems",80.0
"I will remake instrumental, backing track of any song in any genre",https://www.fiverr.com/hughdem1996/remake-instrumental-backing-track-of-any-song-in-any-genre?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=1d8d06b8aead42a5ad4435cf8ba7db42&pckg_id=1&pos=6&context_type=rating&funnel=1d8d06b8aead42a5ad4435cf8ba7db42&imp_id=ab79c00a-b8c7-4e26-9540-0d1f84a5e311,"https://fiverr-res.cloudinary.com/videos/so_10.191351,t_main1,q_auto,f_auto/k1nxvj0qrrhlr8scqwnz/remake-instrumental-backing-track-of-any-song-in-any-genre.png",SILVER PACKAGE,"Do you need an instrumental remake of a song? This is the gig for you! I will remake/produce a backing track for any song of your choice whether its pop, trap, hip-hop, rock, metal, EDM, R&B, jazz, classical, I've got you covered!

What you will get:

·     **High-quality instrumental remakes** of any song you choose!

·     **Mixing and mastering** using industry standard tools and software to give you that professional sound, ready for streaming and the radio!

·     **Full commercial rights** to the music - ownership is all yours!

·     **Project file + stems -** so if you want to edit further, you still can!

I'm an experienced producer who has produced for artists and companies around the world. I've created instrumental remakes for years in multiple genres. I can also reproduce instrumentals in different genres if you'd like - e.g. a rock version of a hip-hop instrumental.

Whether you're an experienced artist, a beginner, or not a musician at all, I will help to bring your vision to life! I promise quick communication, responsiveness and understanding to deliver you the product that you need.

Feel free to message before placing an order to discuss what you want. Let's get to work! :)","One instrumental up to 1 minute, will provide mixed/mastered WAV file",15.0
"I will be your ghost music producer for edm, pop and more",https://www.fiverr.com/handanu/produce-lofi-or-chill-hip-hop-with-no-copyright?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=1d8d06b8aead42a5ad4435cf8ba7db42&pckg_id=1&pos=7&context_type=rating&funnel=1d8d06b8aead42a5ad4435cf8ba7db42&seller_online=true&imp_id=56bd9821-11ff-46f9-95fe-b363c68414dc,"https://fiverr-res.cloudinary.com/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/178295177/original/f1f889cb5c4ade3fe6efea38d1acc675e00ff44a.png",STARTER PACKAGE,"***YEAR END HOLIDAY SPECIAL FOR CHRISTMAS & NEW YEAR SONG!***

**AVAILABLE 24/7 and ready for ONE DAY SERVICES**

***Who Am i?***

My name Handanu, I'm a music producer with **more than 10+ years experience in music production**. I have produced ton of music in several genres like EDM, Pop, Hip-Hop, RnB, Rock, Cinematic and many more.

***My Experiences***

I've produced ton of beats for several purposes like Album, Streaming, Rapping, Advertising, Animation, Movie and Game.

***Why me?***

* **I have done 1000+ projects on Fiverr with with a high level of customer satisfaction**
* **TOP RATED Fiverr seller on music category**
* **Experienced with many genres and styles according to client needs**

***What You Get***

* 100% Original Beat
* High Quality WAV file
* Full rights
* Stem files
* FL Studio Project file
* Amazing Services :)
* Always on 24 hours

️With my experiences and my gears i wrote above, i guarantee i will produce high quality and exclusive music production for you.

**ORDER NOW! and get the high quality song production.**",Short track up 1 mins in any genre with commercial use.,15.0
"I will compose and produce a pro rock or metal song, custom music",https://www.fiverr.com/ericcastiglia/write-a-metal-or-rock-song-for-you?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=1d8d06b8aead42a5ad4435cf8ba7db42&pckg_id=1&pos=8&context_type=rating&funnel=1d8d06b8aead42a5ad4435cf8ba7db42&imp_id=eb98ca1d-5f69-4147-bce4-8135da612ba8,"https://fiverr-res.cloudinary.com/videos/so_73.585965,t_main1,q_auto,f_auto/ceju8lapkaoarqdywyga/write-a-metal-or-rock-song-for-you.png",,"Hi Rockers and Metalheads!

**My songwriting music services is out now with a special price!**

Need the song of your dream? Are you a singer and need a powerful rock or metal song? Or maybe a love ballad? Need a professional soundtrack for your videogame or maybe a backing track for youtube or podcast?

If your answer is yes you're in the right place!!

I'm a Professional Session singer, multi-instrumentalist, songwriter and i can be your ROCK or METAL ghost producer for your music.

Feel free to send me a message to discuss your ideal project.

**Check out my Portfolio** **to choose your favorite Music Genres:**

https://soundcloud.com/user-549248203/sets/producer-works-samples

* I can turn **AI-generated songs into real music with live instruments and vocals.** Let's bring those digital tunes to life

**I will produce an original song in the following music styles:**

* hard rock
* heavy metal
* power metal
* death metal
* thrash metal
* black metal
* djent
* metalcore.
* punk
* rock
* anime song
* electronicore
* edm metal
* pop rock
* Christmas song
* birthday song
* metaverse music
* videogame

All instrument played by me.

Recorded, mixed, and mastered in my professional studio.",**BASIC DEMO** 15 sec of instrumental demo,15.0
"I will produce, record and mix your song",https://www.fiverr.com/jass1410/take-your-song-from-a-worktape-to-a-fully-produced-track?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=1d8d06b8aead42a5ad4435cf8ba7db42&pckg_id=1&pos=9&context_type=rating&funnel=1d8d06b8aead42a5ad4435cf8ba7db42&seller_online=true&imp_id=88fd9ca9-ce2f-48b8-b83c-c2054148874c,"https://fiverr-res.cloudinary.com/videos/t_main1,q_auto,f_auto/xxsrpogwb6binejoemau/take-your-song-from-a-worktape-to-a-fully-produced-track.png",,"I will fully **produce, record, mix and master** your song in any genre. This includes full instrumentation including guitars, bass, piano, other keys instruments, banjo, mandolin, drums.

**Vocals** can be supplied by yourself if you wish, either recorded remotely, or with me here in the studio in Nashville. All vocals will be comped and tuned to ensure the highest quality, professional standard. Vocals can also be provided by a pro Nashville session singer, I have both male and female vocalists available.

I can offer **real drums**, played by a pro session drummer if needed. This isn't something that is necessary for every genre - such as most modern pop music, but can help take more organic genres such as country, folk and singer/songwriter up a level.

Please feel free to reach out to me if you have any questions regarding which package is best for you.

I work out of a professionally designed and acoustically treated mix and recording space with industry standard equipment. Please see my FAQ's for a breakdown of the gear I use.

If you have any other questions that I haven't covered, please feel free to reach out to me any time!",**Fully produced song** A full band/full production song including mix and master,350.0
I will be your ghost producer,https://www.fiverr.com/deckos/be-your-ghost-producer?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=1d8d06b8aead42a5ad4435cf8ba7db42&pckg_id=1&pos=10&context_type=rating&funnel=1d8d06b8aead42a5ad4435cf8ba7db42&imp_id=3a1e726f-bef8-42e3-b8db-33f33c54b99d,"https://fiverr-res.cloudinary.com/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/101678310/original/915d9854fbcadf1636fc7c6316567a613633ff83.png",,"I make professional ghost productions of a lot of genres ( Future Bass, Slap House, Deep House, Tech House, Progressive House, EDM, Trap, Hip Hop...) for a small amount of money.

- The service includes mixing and mastering for free.

- You will own 100% of the rights.

- You will also get a preview before the payment if needed.

\*Top 100 Billboard\*

\*Some tracks have already been signed to major labels\*

\*4 Platinum Record and 5 Gold verified on RIAA\*","**Ghost production basic** Basic production including mixing and mastering.
(wav, mp3)",40.0
"I will produce, mix and master your song",https://www.fiverr.com/alfredoreed/produce-mix-and-master-your-song?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=1d8d06b8aead42a5ad4435cf8ba7db42&pckg_id=1&pos=11&context_type=rating&funnel=1d8d06b8aead42a5ad4435cf8ba7db42&imp_id=fd1755e4-427f-4c94-9022-648ac2a9b2c2,"https://fiverr-res.cloudinary.com/videos/so_11.606403,t_main1,q_auto,f_auto/cpyqbpqqc3gwhxbikfnk/produce-mix-and-master-your-song.png",Basic,"I'm an audio engineer and musician .I have 9 years of experience in the music industry.

I will do recording sessions of all the instruments to create your production.

I leave you the extra option of adding the voice after the musical production is done.

**\*\*I DON'T SING, I ONLY WORK MUSIC\*\***

**Genres :**

* Rock
* Pop
* Alternative
* Metal
* R&B
* Hip Hop
* EMD
* Reggae
* Country... and many more

**All mixes get the following treatment**

* Full vocal clean up and editing
* Equalization
* Compression
* Panning
* Analog Saturation
* Delays & Reverbs
* Automation

**My Equipment**

1- Studio One

2- RME Fireface UFX II

3- Solid State Logic Fusion

4- Warm Audio WA273- EQ

5- Warm Audio BUS-COMP VCA

6- Helix Line 6

7-TC Electronic Clarity M

8-KRK Rokit 5

9- Fender Jazz Bass

10- Fender Stratocaster Guitar Vintage Mod 80'

11-Ibanez 505SDGR

12- Taylor Acoustic Guitar

13- Rode Nt2a , MXL 990

14- Rode NT55 Pair

15-Novation Launchkey 49I

16- AKAI MPK

17- CPU Ryzen 9 5950x/64Ram

18- The best plugins in the music industry

19- Acoustically treated studio room

**I will put the best of me in your project.**

**I dedicate myself to turning your ideas and dreams into a real song.**","Professional Music Production
3 Instruments",100.0
