Title,Link,Image_URL,Basic_Title,Description,Basic_Description,Price
I will do figma website ui ux design or figma landing page design,https://www.fiverr.com/zanosdesigns/design-or-redesign-responsive-and-unique-figma-website?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=66012e7b82b94997a35c68458c168927&pckg_id=1&pos=1&context_type=rating&funnel=66012e7b82b94997a35c68458c168927&imp_id=ae5b9f1a-b1e8-4619-a8f6-6b8c39549022,"https://fiverr-res.cloudinary.com/videos/so_4.566129,t_main1,q_auto,f_auto/qrunviraa8yakehbplqw/design-or-redesign-responsive-and-unique-figma-website.png",,"**Satisfaction Guaranteed - Risk-Free Trial**

Not happy at the homepage draft stage? Get a full refund - no questions asked.

**Custom Orders Available**

**View My Award-Winning Work:**

https://www.behance.net/waqihrizvi

**With 10+ years designing interfaces, I specialize in:**

Pixel-perfect Figma designs tailored to your brand

Seamless responsive layouts

**Featured Projects:**

Under Armour (Rush & HOVR Landing Page)

️Saudi Government (AlUla Museum's Web UI/UX)

Abu Dhabi Government (Bookfair Abu Dhabi's Website)

Emaar Group (U by Emaar Digital Interface)

**Pricing Details:**

**Homepage/Landing Page**

**Desktop**

Up to 3 Sections: $180

$60/Section after the first 3 sections.

**Mobile**

Up to 3 sections: $45

$15/Section after the first 3 sections.

*The section limit applies only to single-page orders; there is no section limit on multi-page projects.*

**Inner Pages**

**Desktop**

$250 for the first Inner Page and $175 for each Inner Page after that.

**Mobile**

$50 for each inner page.

**Deliverables:**

Fully editable Figma file

**What's Not Included:**

Logo design

Coding/Functional website deployment

Custom content (images, infographics, copywriting)

Animations

**Magic happens with one message. I'm ready when you are!**",**Mini - Figma Design Only** 1 Page Desktop Only - 3 Sections Max,180.0
I will do figma website ui ux design or figma website design,https://www.fiverr.com/mydesignbd/design-photoshop-web-template?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=66012e7b82b94997a35c68458c168927&pckg_id=1&pos=2&context_type=rating&funnel=66012e7b82b94997a35c68458c168927&imp_id=ed0e8878-d4ea-455b-83ca-e098730c0b58,"https://fiverr-res.cloudinary.com/videos/so_0.0,t_main1,q_auto,f_auto/dlacn52pmrsi3msizidl/design-photoshop-web-template.png",,"**Hello!**

Welcome to the most professional Figma website design service!

As a Pro Verified Seller on Fiverr, I bring expertise and creativity to every project. I specialize in crafting stunning and user-friendly website designs using Figma. Whether you need a business website, Landing page, or E-commerce store, I've got you covered.

**My Portfolio:**

https://mydesignbd.com

**Why choose me?**

* Proven track record with satisfied clients
* Quick turnaround time
* Customized designs to suit your brand

**Specialties :**

* Creative and Unique design
* Well-Organized Source File
* Auto Layout
* Style Guide
* Usage of Reusable Components

**Delivery Included:**

* Final Delivery in PNG, JPEG, and Figma files.
* SVG files for icons
* EPS files for illustrations
* Premium stock-free images
* Prototype version (For extra charges)

**Requirements:**

* Brand guidelines
* Short Description
* Sitemap (Number of pages)
* Reference site links
* Content for all pages

Let's work together to make your online presence shine. Order now and let's bring your vision to life!

**Note: Please don't place an order without discussing your project.**",**Basic Home page design** Up to 5 sections + Figma source file,130.0
"I will design photoshop or PSD web template, figma website design",https://www.fiverr.com/shariful_gr/design-photoshop-web-template-or-psd-website?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=66012e7b82b94997a35c68458c168927&pckg_id=1&pos=3&context_type=rating&funnel=66012e7b82b94997a35c68458c168927&imp_id=df01a6de-9b76-47ba-9a8c-a09f7cd3e3d5,"https://fiverr-res.cloudinary.com/videos/so_0.0,t_main1,q_auto,f_auto/m6e86f9hxxcpnsjtbjlz/design-photoshop-web-template-or-psd-website.png",,"Are you in search of a dependable and ***long-term UI & UX Designer*** for your website, app, web app, or landing page? Look no further!

***I specialise in designing websites, mobile apps, web apps,***

***or landing pages using Figma, XD, or Sketch.***

With over ***10 years of experience in UI & UX design***, ***Website Design,*** ***Figma Design,*** I've collaborated with reputable companies across various industries such as **Freepik**, **A.team**, **StatenWeb**, **VoidCoders**, and **XeroTheme**, assisting them in creating clean, conversion-focused products and websites.

Now, as a full-time freelancer on Fiverr, I'm here to offer you high-quality UI & UX design services tailored to your specific needs.

Check out my portfolio here:

**https://www.fiverr.com/users/shariful\_gr/portfolio**

**or *www.ssfolio.com***

My services include:

**- 100% Custom Design**

**- Responsive Files**

**- 100% Layered File**

**- Friendly Support**

**- Source file included**

**- 100% Satisfaction Guarantee**

**- Quick Updates and Revisions**

Please don't hesitate to contact me if you have any questions. I am available for **16 hours a day,** and I will respond to your concerns within ***10 minutes.***

***Note: I offer a Free Fiverr Generated Zoom Meeting to discuss about the project.***",**Homepage or Landing page design** Figma File (Source File) + 3 Sections maximum + Friendly Support. My Portfolio: www.ssfolio.com,125.0
"I will do modern squarespace website design or redesign, website development",https://www.fiverr.com/wedev_pro/do-figma-ui-ux-design-website-ui-design-website-mockup-or-mobile-app-ui-design?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=66012e7b82b94997a35c68458c168927&pckg_id=1&pos=5&context_type=rating&funnel=66012e7b82b94997a35c68458c168927&seller_online=true&fiverr_choice=true&imp_id=7e359d5d-8836-43ac-81a6-82391e190e11,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/386764919/original/44e20d6fdaabaec74665355a407a622f7bb83f47/do-figma-ui-ux-design-website-ui-design-website-mockup-or-mobile-app-ui-design.jpg",Basic Package,"Welcome! You're one step away from accessing my top-notch Squarespace design development project.

Are you ready to elevate your online presence? With Squarespace, I can build a visually stunning, professional website for your personal brand or business. Not sure where to begin? I'm here to assist you every step of the way.

I'm here to create a custom, professional Squarespace site. Whether you're a small business, blogger, or creative professional, your website's design is key to making a lasting impression.

**What I Can Do for You:**

- Custom Squarespace Website Development

- Redesign Existing Squarespace Sites

- Design E-commerce Websites and Online Stores

- Third-Party Plugin Integrations on Squarespace

- Design Landing Page/bug Fixing

- Ensure Responsive Design

- Seamless Cms Transfer to Squarespace

- On-page SEO Optimization

- Integrate Contact Forms, Social Media, and Email Marketing

- Tailored Services as Per Your Needs

**Why Choose Me?**

- Detail-oriented With a Focus on Quality

- 24/7 Support and Communication

I pride myself on delivering exceptional customer experience and design that surpasses your expectations. Let's discuss your project!",Professional Landing Page + Responsive + Clean & Custom Design,80.0
"I will design, redesign responsive landing page, wordpress website using elementor pro",https://www.fiverr.com/wp_wizard26/design-redesign-responsive-landing-page-wordpress-website-using-elementor-pro?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=66012e7b82b94997a35c68458c168927&pckg_id=1&pos=6&context_type=rating&funnel=66012e7b82b94997a35c68458c168927&seller_online=true&imp_id=142594ef-9bc1-43e3-b1c6-395515296cda,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/459980443/original/727085e50be7444894c914d81ff17670c6a0f5e8/design-redesign-responsive-landing-page-wordpress-website-using-elementor-pro.jpg",LANDING PAGE/ ONE PAGE WEBSITE,"I'll create modern, elegant, and high-converting landing page using Elementor Pro, or even clone/rebuild your existing site to perfection.

As a WordPress specialist, I deliver captivating, sleek, and professional designs that reflect you brand and drive result. This is the perfect gig for anyone serious about standing out with a stunning landing page.

**Explore What I Offer:**

* **Landing Page / One-Page Website**
* **Full WordPress Website Design & Re-Design**
* **Sales Page / Products Page**
* **Affiliate Landing Page Design**
* **Redesign & Clone Any Type of Website**
* **Figma to WordPress**
* **PSD/XD to WordPress**

**Elements That Make Your WordPress Page Convert:**

* **Clear and compelling headline**
* **Strong call-to-action (CTA)**
* **Testimonials and trust signals**
* **100% responsive on all devices (Mobile, Tablet, Desktop)**
* **Fast loading speed**
* **SEO-friendly Elementor Website**
* **Lead capture forms or opt-in boxes**
* **Social proof and sharing options**

﻿**Why Choose Me?**

1. **Unlimited Revisions**
2. **100% Satisfaction Guarantee**
3. **Affordable 100% Transparent Pricing**
4. **30 Days Ongoing free VIP Support**

**Lets Build Something Amazing**",Design/ redesign wordpress landing page/one pager+contact form+unlimited revisions,15.0
"I will do figma design, figma website design, figma ui ux and figma website",https://www.fiverr.com/sheraz_khans/do-figma-design-figma-website-design-figma-ui-ux-and-figma-website?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=66012e7b82b94997a35c68458c168927&pckg_id=1&pos=7&context_type=rating&funnel=66012e7b82b94997a35c68458c168927&seller_online=true&imp_id=c24d840d-54cd-4bb6-805b-2131f8ace2c2,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/459995402/original/caaf0ee31c4d6d392066e19c37e722bcf3610c97/do-figma-design-figma-website-design-figma-ui-ux-and-figma-website.png",Basic Package,"Are you Looking for a clean, modern, and responsive website design that stands out?

You're in the right place!

**Hi, I'm Sheraz Khan,** a professional UI/UX Designer specializing in Figma website design. I create stunning, user-focused mockups that bring your vision to life and perfectly align with your brand identity.

**What I Offer**

Custom Figma website designs tailored to your brand.

Fully responsive and interactive UI/UX designs.

Pixel-perfect layouts optimized for usability and aesthetics.

High-quality mockups ready for development.

**Why Choose Me**

Proven expertise in Figma design across various industries.

Clean, intuitive, and conversion-focused UI/UX.

Quick turnaround with unlimited revisions until you're 100% satisfied.

Professional communication and attention to detail.

**Work Process**

Discuss your project requirements.

I design a detailed, user-friendly UI/UX in Figma.

Deliver the final high-quality mockup with all necessary files.

If you're ready to build a project that not only looks great but functions seamlessly lets get started today! **Contact me now to discuss your project.**",1 Figma Landing Page Designs (5 Sections) Editable Figma Source File,15.0
"I will design, redesign wordpress website development, blog or business website design",https://www.fiverr.com/shopify_stores3/design-responsive-wordpress-website-development-in-24-hours?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=66012e7b82b94997a35c68458c168927&pckg_id=1&pos=8&context_type=rating&funnel=66012e7b82b94997a35c68458c168927&seller_online=true&imp_id=d1d43fa3-d52c-4643-9e53-8b79cd71fd17,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/432975353/original/05e88cd0ab1d345c049161611212d3eaf51abc40/design-responsive-wordpress-website-development-in-24-hours.png",Quick Start,"Looking for a **professional WordPress developer** who can design or redesign your website with a clean, modern, and high-performing layout?

You've found the right person!

With years of experience and **300+ WordPress projects completed**, I specialize in creating fully responsive, SEO-friendly, and fast-loading websites for **businesses, blogs, and eCommerce stores.**

**My WordPress Services Include:**

* Custom WordPress website design & redesign
* Fully responsive layouts for all devices
* Business, portfolio, or blog site setup
* Speed optimization & performance tuning
* Elementor Pro & Astra Pro customization
* WooCommerce integration (shop setup)
* Theme & plugin installation or migration
* Cloning, bug fixing & website maintenance

**Industries I Work With:**

* Business & Corporate
* Real Estate & Finance
* Cleaning & Roofing
* Fitness & Sports
* Education & LMS
* E-commerce Stores
* Travel, Wedding & Portfolio sites, and many more!

**Why Choose Me?**

1. 100% Satisfaction Guarantee
2. Fast delivery and responsive communication
3. Unlimited revisions until you're happy
4. Post-delivery support & guidance

**Ready to elevate your online presence? Let's talk and start creating your perfect WordPress website today!**","Install WordPress Theme, Plugins and set up basic website with a Responsive Landing page",100.0
I will design a high converting wix website and wix website redesign,https://www.fiverr.com/uimuse/design-a-high-converting-wix-website-and-wix-website-redesign?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=66012e7b82b94997a35c68458c168927&pckg_id=1&pos=9&context_type=rating&funnel=66012e7b82b94997a35c68458c168927&imp_id=101ee340-c9f3-442f-896f-88bcc43e22fc,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/437489749/original/eb7bbf270f5d17ca4f4ea9548b7b7d4f75f2340f/design-a-high-converting-wix-website-and-wix-website-redesign.png",,"Luckily, youve landed in the right place! With over 7 years of experience in Wix Website Design and Wix Website Redesign, I deliver exactly what your business needs to stand out and convert.

I'm a **Fiverr Vetted Pro** and **Certified Wix Partner**, trusted by top companies around the world for delivering high-quality Wix websites. I specialize in building stunning, responsive, and conversion-focused websites using **Wix** and **Wix Studio**. Whether you need a powerful Wix eCommerce store, a professional landing page, or a full custom design I've got you covered.

**My Services Include:**

* Modern and responsive Wix website design
* Professional Wix redesigns to boost performance and style
* Custom features and animations using Wix Studio
* High-converting Wix landing page
* Complete Wix eCommerce store setup

**Why Choose Me?**

1. **Fiverr Pro Verified** Trusted by leading brands
2. Certified Wix Partner Ranked among the **Top 25 Wix Partners in 2024**
3. Global Experience Trusted by clients worldwide

Your project deserves focused attention and a partner who truly cares. Thats exactly what I offer to every client I work with.

**Dont delay your online success; place your order today.**","**Landing Page** Landing Page with 1-4 Section (Home, About, Services, Contact)",195.0
"I will build squarespace website design, website development as a squarespace expert",https://www.fiverr.com/uigeeky/mobile-app-ui-design-or-mobile-app-ui-ux-design-in-figma?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=66012e7b82b94997a35c68458c168927&pckg_id=1&pos=10&context_type=rating&funnel=66012e7b82b94997a35c68458c168927&seller_online=true&imp_id=ee3422ed-5c35-408b-8426-92feb579d346,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/282390547/original/c475fbd8bd5d06696b72758f1f76c777cb1ab396/mobile-app-ui-design-or-mobile-app-ui-ux-design-in-figma.jpg",Basic Package,"**Need a Squarespace website that actually reflects your brand and works effortlessly?**

You're in the right place!

As a **Squarespace expert**, I help clients across industries **build Squarespace** sites **t**hat

combine stunning visuals with real functionality. Whether you're starting from scratch or refreshing your site, I deliver a seamless **Squarespace website design** experience.

**What You'll Get:**

* Fully custom **Squarespace website design**
* Mobile-ready, responsive layout
* E-commerce, booking, blog or landing page
* Calendar, forms, and subscription integration
* Optimized performance and visual impact

**What I Need From You:**

* Your brand assets (logo, colors, fonts, if available)
* Web-site content (text, images, page list)
* Your goals or references (inspiration sites, preferences)
* Domain access (if already purchased)

**Why Work With Me?**

* Friendly, fast communication
* On-brand **Squarespace website design**
* Post-launch support included
* 100% satisfaction guaranteed

Let's build your ideal **Squarespace website design** together.

**Order now** to get started today!",One-page Squarespace website design + responsive + Contact Form + Content Upload + Favicon,85.0
"I will make, create, rebuild, develop or redesign wordpress website design in 24 hours",https://www.fiverr.com/myaqoob_87/design-responsive-website-in-48-hours?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=66012e7b82b94997a35c68458c168927&pckg_id=1&pos=11&context_type=rating&funnel=66012e7b82b94997a35c68458c168927&seller_online=true&imp_id=b66adda6-8e88-4090-b32e-b2eb85e3d2ad,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/424240224/original/1fdb4420f99c1a319701f1e6978e7aa0b0e797d8/design-responsive-website-in-48-hours.png",BASIC,"Looking for a skilled professional to plan, build, or upgrade your online presence? I create high-performing digital platforms using WordPress, Shopify, React JS, Laravel, and Django blending elegant design with clean development.

As a full stack developer, I handle both creative layouts and functional code. From business platforms to eCommerce builds, every project is optimized for speed, mobile use, and search visibility.

I combine creativity with technical accuracy. Whether you run a real estate, HVAC, or contractor firm I'll deliver a modern website design, secure, and conversion-ready build that elevates your digital brand.

**Keywords**

WordPress Website | Website Development | Website Design | Business Platform | WordPress Developer | Full Stack Developer | Redesign WordPress | Ecommerce Build | Custom Design | Backend Developer | React JS | PHP Laravel | Frontend Developer | Elementor | Software Creator | Wix Studio | Build Squarespace | Squarespace Design | Wix Developer | Responsive Layout | Django Developer | Real Estate | HVAC | Contractor | Landscaping | Shopify Store | Blog Setup | Affiliate Build | Modern Layout | Professional Design |

**Note: Contact me before order!**",1 page website design(5-6 sections) FULLY RESPONSIVE,85.0
