Title,Link,Image_URL,Basic_Title,Description,Basic_Description,Price
I will write your high ticket perfect webinar script in 21 days,https://www.fiverr.com/telecommutepro/help-you-build-a-profitable-continuity-program-like-mine?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=6704eb4086cd42c6986b8dcdda87f772&pckg_id=1&pos=1&context_type=rating&funnel=6704eb4086cd42c6986b8dcdda87f772&imp_id=a735ff45-a2b7-446d-8c47-fb53e6019264,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/13235754/original/7f066ba4363c000ca12f298297d0d96ebc060905/help-you-build-a-profitable-continuity-program-like-mine.png",,"**High-Converting Webinar Scripts That Sell**

Struggling to turn webinar viewers into buyers? Ill write a **Perfect Webinar Script** using **Russell Brunsons proven framework** to engage, persuade, and convert.

**Why Choose Me?**

**U.S.-born, native English speaker** Clear, professional, and persuasive copy.

**Proven expertise** I specialize in high-impact webinar scripts that sell.

**Fast turnaround & easy collaboration** Get a script that's ready to perform.

**What You Get:**

**Engaging Origin Story** Build trust and authority.

**Epiphany Bridge Scripts** Overcome objections with ease.

**Three Secrets Framework** Deliver a powerful, persuasive offer.

**Packages:**

**$1,495 Core Webinar Script** (Perfect for starters)

* Full webinar script
* Engaging Origin Story
* 3 Epiphany Bridge Scripts

**$2,495 Growth Package** (Boost conversions!)

* Everything in Basic
* Opt-in Video & Sales Copy
* Ad Scripts, Teasers & Follow-up Emails

**$9,995 Full Launch Package** (Done-for-you webinar!)

* Everything in Growth
* **Launch-Ready 8-Page Funnel**
* **Facebook Ad Copy + VSL Scripts**
* **Complete Webinar Strategy**

**Want a FREE Script Audit?**

Message me, and let's create a package that fits your needs!

**Click ""Order Now"" and let's build a high-converting webinar today!**","**Script, Origin, Epiphany Bridge** Perfect Webinar Script + Your Origin Story + 3 Epiphany Bridge Scripts",1495.0
"I will create perfect webinar funnel, script and email",https://www.fiverr.com/abervindigital/create-perfect-email-contents-and-design?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=6704eb4086cd42c6986b8dcdda87f772&pckg_id=1&pos=2&context_type=rating&funnel=6704eb4086cd42c6986b8dcdda87f772&imp_id=ebc6c782-40d5-440c-8d6c-c1d51a3cbbb3,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/224443768/original/af691399fa3825b7c8600f55f5e29b1bb0ba472e/create-perfect-email-contents-and-design.png","Origin, Vehicle, Epiphany, Beliefs","***Webinars are like stage presentations but infinitely more scalable***

We believe that if we take the stress of writing the perfect script off you, all you have to do is hit the record button and you will have your audience hooked and converted to buyers

That's why we created this PERFECT Webinar Script Gig

This unique webinar creation method invented by Russell Brunson utilizes 4 powerful stories within the script to create a presentation that inspires repeat sales, conversions and subscriptions.

There are **not very many people** who can create the same insanely high-converting webinar framework that Russell Brunson used to take Clickfunnels from $0 to $100 million in only 3 years

So it's a good thing you found us right?

We're Fiverr's #1 Choice because we like to go above and beyond.

For a fraction of it's worth, you're getting the best scripts to deliver outstanding results for EVERY industry or topic you can imagine.

But that's not all..

We'll create VSLs, Webinar Funnels, Ads, Email Marketing Setups and more to guarantee your success because we want to do all the heavy-lifting for you

Just PRESS RECORD - and Cha-ching!

Made it this far? Then start your ORDER NOW",Perfect Webinar Script + Origin Story + Epiphany Bridge Scripts + PPTX Slides,2000.0
I will write your film or TV script,https://www.fiverr.com/stesher/write-scripts-for-you?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=6704eb4086cd42c6986b8dcdda87f772&pckg_id=1&pos=3&context_type=rating&funnel=6704eb4086cd42c6986b8dcdda87f772&imp_id=6fa9882a-d48b-44c3-ad3c-6ca716371008,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/65481619/original/b249c26ab822bed0f53eca21d251513263d06d4f/write-scripts-for-you.jpeg",Short Films Script,"I bring over twenty years of script writing experience and passion to every project. I have written feature and short films for filmmakers all over the world and in every genre.

I have been produced off-Broadway and internationally, I'm a published author and journalist. I have worked with Academy Award-winning producers, and Pulitzer-winning playwrights.

Screenwriting is a craft. Few people do it well. What separates me from the others is this: I am a detail-oriented writer with the craft, experience and skills honed over years to bring your characters/story to life on the page.

What you get: A video or phone conference to discuss your idea and vision. Consistent updates from me throughout the writing process. Previews of drafts prior to delivery. I offer Milestone workflow options for most projects. Ask about coupons.

I ask for writing credit on anything I do. If you want to hire me as a ghostwriter, someone who writes but does not take credit, my fees double. I will not write religious or politically motivated content.

Contact me today and let's get started!","Up to 10 pages long
Scripts delivered in PDF/FDX (Final Draft)
1 phone/video session",450.0
I will provide industry quality feedback for your screenplay,https://www.fiverr.com/hendyk/provide-detailed-notes-for-your-feature-length-screenplay?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=6704eb4086cd42c6986b8dcdda87f772&pckg_id=1&pos=5&context_type=rating&funnel=6704eb4086cd42c6986b8dcdda87f772&fiverr_choice=true&imp_id=c318bec4-3dec-42f0-ac27-d1045398e452,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/127909747/original/5a894f1734e1e7f0f1d619672608c7aa74b3a8aa/provide-detailed-notes-for-your-feature-length-screenplay.png",1-95 page screenplay,"**Detailed and actionable notes for your screenplay**

Hi! I'm HendyK, an industry script reader, editor, and agented screenwriter. My past clients include an Oscar Winner, an Emmy winner, and several production companies in Hollywood.

As a writer, I know what kind of notes are valuable when getting feedback. In the past, I've received notes where the reader has not understood the story or read the material thoroughly. This can be a huge setback in the writing process and often be detrimental to the material.

When you pick my gig, you can trust that I will really dig into your work and give you honest, helpful feedback. My criticisms will be constructive, and not just pointers that are harsh and unusable. By using a scorecard, I'll also evaluate your material against scripts I read on a professional basis. This way, you'll know exactly where your work stands in the market.

The notes will cover:

* Plot/Premise
* Character
* Structure/Writing Style
* Themes
* Dialogue
* Marketability

+ Pages notes: formatting, and inconsistency/logic errors.

If you're ready to get started, order now!",I will provide detailed notes and feedback for your screenplay,120.0
I will research and write your youtube video script,https://www.fiverr.com/andreemour/writing-the-best-script-for-your-youtube-channel?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=6704eb4086cd42c6986b8dcdda87f772&pckg_id=1&pos=6&context_type=rating&funnel=6704eb4086cd42c6986b8dcdda87f772&imp_id=c1e1acf7-9eea-4c97-b3a4-229bec19e9e2,"https://fiverr-res.cloudinary.com/videos/t_main1,q_auto,f_auto/mfm8h7qgmxvwnuqmaoyy/writing-the-best-script-for-your-youtube-channel.png",,"Welcome buds! I am glad that we have found each other.

Commitment and responsibility to my clients are unquestionable values for me.

I don't just write scripts, I make dreams come true!

No matter how you want it, informative, funny, news or bizarre, if you have an idea, I'll make it happen. Your project needs real professional writers and I'm here to help you.

Each script will include:

* HOOK: Keeping the viewer in your video is my obligation. Say goodbye to long and boring openings that only make your viewers run away from your video. With my method, you will break through the attention barrier from the very first moment.

* INTRO/CTA: A quick introduction to your channel and a call to action to subscribe. [This can be standardized if you wish] [OPTIONAL].

* DEVELOPMENT: Say no more! You'll have such an incredible development that it will be hard for your viewers to want to leave.

* CTA DURING VIDEO: Interaction is very important to keep customers interested, so I'll make your video interactive to increase your metrics.

With your ideas and my creative and research skills, I'm sure we can make a great team and produce amazing content for your channel!

**ASK FOR BULK DISCOUNTS**","**Basic with content** 100-900 word script for 1-5 minutes videos!
2x1 on 150-word shorts",10.0
I will be your professional researcher and youtube scriptwriter,https://www.fiverr.com/atif_ch01/be-your-youtube-script-writer?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=6704eb4086cd42c6986b8dcdda87f772&pckg_id=1&pos=7&context_type=rating&funnel=6704eb4086cd42c6986b8dcdda87f772&imp_id=94975168-5e3d-455f-bf88-2a9579b3c165,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/270105208/original/4f7334d60e8ebef219b9ec9f3c84f0490cdf073c/be-your-youtube-script-writer.png",BASIC,"Welcome to my **YouTube scriptwriting** gig!

YouTube is one of the most significant platforms to entertain people and this can only be done by using a fantastic script. Making a **Creative YT Video script**that stands out is difficult, and keeping the audience engaged until the end is a hefty task. I understand the competition as I have worked for a number of YT channels. If you are having such problems, That is where I come in**.**I will do proper research and write some amazing scripts for your channel. Let me work my magic and you will see the results.

**Key aspects of my work:**

* Professionally written Creative Video script
* Accurate Facts
* Scrupulously Researched
* 100% Original
* Quick response and delivery

**Topics I have worked on:**

* Top 10/ Top 5
* How to/Informative
* Fitness
* luxury lifestyle
* home organization
* NFL/NBA
* Cryptocurrency/NFTs among others.
* moral stories
* fiction stories
* educational video
* finance scripts
* football
* crime stories
* health

Feel free to contact me for any queries and samples.",The package includes a 500 word script. Will be delivered in 1 day,5.0
I will do video script writing for youtube channel,https://www.fiverr.com/maiza_expert/do-economics-essay-management-and-business-essays?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=6704eb4086cd42c6986b8dcdda87f772&pckg_id=1&pos=8&context_type=rating&funnel=6704eb4086cd42c6986b8dcdda87f772&imp_id=786b5433-0706-4bf8-abfd-3565fff33e74,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/196641472/original/b767e8e4ca3829053c1647f1a95e15409c3f38e0/do-economics-essay-management-and-business-essays.png",3 min Short Script,"Please contact me before hiring.

Hi, I'm Maiza, your dedicated YouTube scriptwriter. With over 3 years of experience crafting captivating voiceover scripts for a variety of YouTube channels, I've had the privilege of working with numerous international clients. I specialize in creating compelling scripts that include a hook, introduction, main script, and outro. This proven structure keeps viewers engaged from start to finish, encouraging them to like, subscribe, and return for more.

**I can write on a variety of topics, including:**

* Tech and gadgets
* Movies and Celebs
* Health, fitness, and sports
* Finance and Real Estate
* Top 10 and Top 5
* Parenting and pets
* Science and education
* Much more as per your niche

**Why should you buy this service?**

* Grammarly correct content
* 100% original script with in-depth research
* 100% correct information

**I look forward to working with you. Discuss your script details, and let's get started. Thank you!**",I will write 450 words or 3 min script,10.0
I will write a captivating video script,https://www.fiverr.com/georgiaeaustin/write-a-captivating-video-script?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=6704eb4086cd42c6986b8dcdda87f772&pckg_id=1&pos=9&context_type=rating&funnel=6704eb4086cd42c6986b8dcdda87f772&imp_id=6cc80f82-d765-475e-b338-d364ec4122ce,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/289813939/original/ff90808aebcf274ae52bdebb86934eb1d0ab6f6e/write-a-captivating-video-script.png",BASIC,"Video is one of the best content types you can use to get your message across.

Using videos to talk directly to your potential clients is so effectiveas long as your script is engaging and informative. From explainer videos, product introductions, and training videos, to brand overviews, social post videos, and beyond, I will write scripts that capture your brand voice and make sure your message hits home.

**With this gig, I can offer:**

* A script that fits seamlessly with your brand
* Words that make your audience hear and understand your message
* Scripts for YouTube, social media, events, presentations, and website videos
* Competitor research
* Clear call to action

I am a **professionally trained** copywriter, editor, and digital marketing expert with >7 years of experience working with brands like **AMEX,** **Nike,** **Tommy Hilfiger, Toshiba, and Joe & The Juice**. I understand the importance of content marketing and compelling copy to help you reach your business goals.

Don't hesitate to reach out with any inquiries you may have. Please message me with your project brief to get started.

**Let's get to work!**",I will write an engaging video script (or multiple scripts) up to 300 words,100.0
I will evaluate your screenplay and provide black list level coverage,https://www.fiverr.com/sarammonge/evaluate-your-screenplay-and-provide-industry-level-coverage?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=6704eb4086cd42c6986b8dcdda87f772&pckg_id=1&pos=10&context_type=rating&funnel=6704eb4086cd42c6986b8dcdda87f772&imp_id=404016fb-080a-408b-a8e7-5f93fceb1325,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/429358904/original/3db3121657e02177f14d3dd467441f92242de6c5/evaluate-your-screenplay-and-provide-industry-level-coverage.png",Script Report - Half-Hour Pilots,"**Why me?**

I have read and currently read for **several Hollywood companies**, including **AMC** and **Skydance Television.** I write coverage on a dozen scripts and books every month, so I understand market trends and what makes a script stand out from the rest.

I got my BFA for Writing for Screen & Television at the **University of Southern California (top 3 film school)** and have **10+ years of industry experience**, including placing on the **2019 Black List** and selling ideas to **top production companies*.***

**What I can give you:**

View this like a therapy session, but for your script. I know how to identify the **strengths of your script,** but also read between the lines and **find the truth** of what you're trying to say. I believe this is vital because it **establishes a foundation** for how I'll evaluate your characters, plot, concept, and dialogue. I'm not looking to make a script I think is good -- **I'm here to discover why you think your story is great** and then shepherd your script to meet your goals.","2 pages of feedback on your characters, story, plot and concept for scripts under 35 pages",25.0
I will provide detailed notes on your screenplay,https://www.fiverr.com/jeffrobowa/provide-hollywood-script-coverage?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=6704eb4086cd42c6986b8dcdda87f772&pckg_id=1&pos=11&context_type=rating&funnel=6704eb4086cd42c6986b8dcdda87f772&imp_id=fb59952b-133d-481e-8904-c3a572f01b9e,"https://fiverr-res.cloudinary.com/videos/t_main1,q_auto,f_auto/ch6augamjvcq6n4rkip5/provide-hollywood-script-coverage.png",1/2 Hr Pilot / Short Film,"My former clients on Fiverr have won the Grand Prize at Creative World Awards, Filmatic Drama Screenplay Awards, WeScreenplay Diverse Voices, and Bronze at Page.

They have placed in the finals of Shore Scripts, ScreenCraft, Emerging Screenwriters, Outstanding Screenplays, Richmond International Film Festival, Launch Pad, Table Read My Screenplay, and many, many more.

I am an award winning screenwriter in Hollywood, in tune with the current trends in the industry. Here is my Coverfly profile (I have 6 scripts in the Top 1%)

https://writers.coverfly.com/profile/JeffBower

I will provide detailed AND HONEST notes of your script in the areas of Concept, Plot, Character, Dialogue, and Structure.

\*\*I'm not here to make money, I'm here to help you become a better writer. \*\*

Package also includes (FOR FREE):

* Answers to any specific questions you might have","Extensive, detailed notes for your 1/2 Hr pilot or short film (up to 35 pages)",50.0
I will provide industry standard coverage on your screenplay or play script,https://www.fiverr.com/virtacting/provide-industry-standard-coverage-on-your-screenplay-or-play-script?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=6704eb4086cd42c6986b8dcdda87f772&pckg_id=1&pos=12&context_type=rating&funnel=6704eb4086cd42c6986b8dcdda87f772&imp_id=13736457-acd6-4ac2-b833-a43f3b1b6d4f,"https://fiverr-res.cloudinary.com/videos/t_main1,q_auto,f_auto/hh447af2tvep49ukdzse/provide-industry-standard-coverage-on-your-screenplay-or-play-script.png",Coverage Only,"Industry Standard Coverage includes written feedback in a professional format ideal for later use in project submissions.

For an additional cost, a logline, synopsis, score sheet, and marketing position statement ( ideal for pitching and other marketing materials are available.

#Script Coverage#Freelance Script Reader#Screenplay Analysis#Story Feedback#Character Development#Plot Evaluation#Dialogue Critique#Writing Assessment#Script Feedback#Plot Holes#Script Doctoring#Story Structure#Screenwriting Advice#Script Consultation","Coverage on characters,presentation, theme,pacing,dialogue,structure,concept,plot, and marketplace",25.0
"I will write a cinematic movie script, short film, or TV pilot",https://www.fiverr.com/mbarichard/write-you-an-incredible-movie-or-screenplay-script?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=6704eb4086cd42c6986b8dcdda87f772&pckg_id=1&pos=13&context_type=rating&funnel=6704eb4086cd42c6986b8dcdda87f772&imp_id=c6c0e1f1-5f6b-4e69-b6c0-2484a9e00cbd,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/148989218/original/8d2f761dd7832b3bfa202439dbadc1bae3f1abba/write-you-an-incredible-movie-or-screenplay-script.jpg",,"Need a **Hollywood-ready script** for your short film, feature, YouTube series, or festival pitch? You're in the right place.

I'm an **IMDb-credited screenwriter** with years of experience writing cinematic, emotionally engaging scripts for both screen and stage. On Fiverr, I'm a top-rated seller with 750 five-star ratings.

My work includes **films** like *Do It for the Gram* and *Fear No Weevil*, and I specialize in crafting compelling narratives that resonate with audiences and **stand out in pitch meetings, streaming platforms, and film festivals**.

Whether you're planning a **Netflix-style pilot**, a powerful short for the **festival circuit**, or an animated **series**, I'll help you bring your vision to life with a script that *reads like it belongs in the room*.

️ **What I Offer:**

* Professional scripts for:
* **Short films, skits & trailers**
* **Feature-length screenplays (60-120 pages)**
* **TV pilots & series episodes**
* **Animation, YouTube, and web content**
* Formatting in industry-standard screenplay style (Final Draft / PDF)
* Collaborative, feedback-driven process
* Zero plagiarism, Zero AI, full copyright transfer

**Get in touch today and let's get to work, bringing your incredible film idea to life!**","**Short Film or Pilot** Your professionally written screenplay script of 30 pages, with samples available before delivery",350.0
I will turn your great idea into a TV pilot or film script,https://www.fiverr.com/kiyotoe/turn-your-idea-into-a-pilot-or-short-film-script?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=6704eb4086cd42c6986b8dcdda87f772&pckg_id=1&pos=14&context_type=rating&funnel=6704eb4086cd42c6986b8dcdda87f772&imp_id=d9102759-0161-46c6-8ea2-4279bcd5df8c,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/114241693/original/ad224359600dfd648db8b34770c8d785a7cf25c0/turn-your-idea-into-a-pilot-or-short-film-script.jpg","Bring Your Idea to Life
(10 pages)","Have you ever had an idea rattling around in your head that you thought would make a great tv show or film but didn't know where to start? I'll help you bring your story to life by writing a tv pilot or short film or feature length script. You will be free to do with it whatever you want.

Some projects will require custom Gig offers depending on length, writing credit and/or if additional research or collaboration is required. Every idea, every project is unique, so tell me more about your story idea and we can decide together, which Gig is most appropriate.

Please contact me about your project before purchasing a Gig to ensure availability. I want to make sure I can always accommodate your deadlines.","I will write or edit your short script up to 10 pages
(please contact b4 purchasing)",125.0
I will write edit a children script screenplay for youtube theatre tv film animation,https://www.fiverr.com/alexrigbybishop/write-an-exceptional-childrens-script-for-theatre-tv-or-film?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=6704eb4086cd42c6986b8dcdda87f772&pckg_id=1&pos=15&context_type=rating&funnel=6704eb4086cd42c6986b8dcdda87f772&imp_id=a9a65bbe-d010-4005-aeb7-6a0e55f22f4b,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/133458011/original/c5bb30c7cb7a8fb110f1f1df118533c50612148a/write-an-exceptional-childrens-script-for-theatre-tv-or-film.jpg",Basic Package,"**WANT A LONGER SCRIPT? GET IN TOUCH FOR A CUSTOM QUOTE**

My name is Alexander Peart & I am a **published author, screenwriter, and playwright**. One of my ghostwritten works was **published** and **later turned into a large-scale children's movie!**

**Welcome to The Stardust Experience!**

We are a small team of writers working out of a studio near Birmingham in the UK. We are, quite simply, **the best all-in-one children's ghostwriting service there is**...(we would say that, of course - but go check the reviews on our Fiverr page - if you don't believe us!)

**Not only** dowe write **beautiful, age-specific, exceptional** written media aimed at children, but our writers have worked with:

**\*BBC**

**\*Cartoon Network**

**\*Sony**

**\*Mojang**

**\*Sky**

So you know you're in good hands!

**Be sure to Google us and check out our Trustpilot too!**

If you'd like to discuss your project further, please feel free to drop us a message",A script/screenplay up to five minutes long. (All scripts under five minutes charged at this rate),175.0
I will be your screenwriting coach,https://www.fiverr.com/screenwriter100/be-your-screenwriting-mentor-382f?context_referrer=subcategory_listing&source=pagination&ref_ctx_id=6704eb4086cd42c6986b8dcdda87f772&pckg_id=1&pos=16&context_type=rating&funnel=6704eb4086cd42c6986b8dcdda87f772&imp_id=2cc3fe05-5759-41fe-8224-cc4ff5d57641,"https://fiverr-res.cloudinary.com/images/t_main1,q_auto,f_auto,q_auto,f_auto/gigs/251660362/original/a64c9298881d11788360f36813e05272756acc75/be-your-screenwriting-mentor-382f.jpg",Coaching Session,"Do you need professional feedback on your TV pilot or screenplay? Are you having trouble meeting self-imposed deadlines? Do you need someone to bounce ideas off? Perhaps you've always wanted to write a screenplay, but you don't know where to begin. I will read your treatment, outline, concept, logline, pitch deck, TV pilot, or screenplay (up to 30 pages/ week) and meet with you for ONE HOUR/WEEK (over Zoom) to help you meet your goals. Page count is based on standard industry screenplay format. Sessions are customized to each client. Feedback may include notes on structure, character, dialogue, and plot development. We will work together to brainstorm solutions and help you work through ""blocks."" If you haven't already written a draft of your script, we will spend our first session honing your ideas and preparing you to write.

WHY SHOULD WE WORK TOGETHER?

My work has been produced by a major Hollywood studio.

I teach screenwriting for an MFA program.

I have served on the jury for prominent screenplay competitions.

Coaching sessions DO NOT include written feedback. Please read FAQ. If you have questions, please contact me before ordering. I look forward to hearing from you!",I will read up to 30 pages and meet with you for one hour.,385.0
